,cidade,bairro,estado,tipo_imovel,m2,quartos,suites,banheiros,vagas,preco
84, Balneário Camboriú ,Centro , SC,Apartamento,178.17,4,4,5,3,5460000.0
85, Balneário Camboriú ,Centro , SC,Apartamento,171.66,4,4,5,3,5460000.0
86, Balneário Camboriú ,Centro , SC,Apartamento,143.0,4,2,5,3,2500000.0
88, Balneário Camboriú ,Pioneiros , SC,Apartamento,132.19,3,3,1,2,2174242.75
89, Balneário Camboriú ,Centro , SC,Apartamento,177.78,4,4,1,3,5240000.0
90, Balneário Camboriú ,Centro , SC,Apartamento,153.46,3,3,1,3,4431503.96
91, Balneário Camboriú ,Centro , SC,Apartamento,80.0,2,2,1,1,1959000.0
92, Balneário Camboriú ,Centro , SC,Apartamento,175.0,4,4,1,3,3250000.0
93, Balneário Camboriú ,Centro , SC,Apartamento,175.0,4,4,1,3,3350000.0
94, Balneário Camboriú ,Centro , SC,Apartamento,350.0,4,4,5,4,6300000.0
95, Balneário Camboriú ,Centro , SC,Apartamento,240.0,3,3,4,3,4200000.0
96, Balneário Camboriú ,Centro , SC,Apartamento,238.0,4,4,1,4,9200000.0
97, Balneário Camboriú ,Centro , SC,Apartamento,238.0,4,4,1,4,10500000.0
98, Balneário Camboriú ,Centro , SC,Apartamento,237.0,4,4,1,4,10500000.0
99, Balneário Camboriú ,Barra Sul , SC,Apartamento,194.25,4,4,1,3,6190000.0
100, Balneário Camboriú ,Praia do Estaleiro , SC,Casa,458.0,5,4,1,4,20000000.0
102, Itajaí ,Praia Brava , SC,Apartamento,118.0,3,1,1,2,2030000.0
103, Balneário Camboriú ,Centro , SC,Apartamento,238.0,4,4,1,4,10500000.0
104, Itajaí ,Praia Brava , SC,Apartamento,226.0,4,4,1,4,8400000.0
105, Balneário Camboriú ,Centro , SC,Apartamento,238.0,4,4,1,4,10500000.0
106, Balneário Camboriú ,Centro , SC,Apartamento,238.0,4,4,1,4,10500000.0
107, Balneário Camboriú ,Nações , SC,Apartamento,90.21,2,2,3,1,1925100.54
108, Balneário Camboriú ,Centro , SC,Apartamento,238.0,4,4,1,4,10500000.0
109, Balneário Camboriú ,Nações , SC,Apartamento,83.8,2,2,1,1,2277564.34
110, Balneário Camboriú ,Centro , SC,Apartamento,237.0,4,4,1,4,10500000.0
112, Balneário Camboriú ,Centro , SC,Apartamento,121.9,3,3,1,4,1950000.0
113, Balneário Camboriú ,Nações , SC,Apartamento,96.99,2,2,3,1,1903813.68
114, Balneário Camboriú ,Nações , SC,Apartamento,90.18,2,2,1,2,2450963.63
115, Balneário Camboriú ,Centro , SC,Apartamento,180.54,4,4,1,3,5150561.51
116, Balneário Camboriú ,Centro , SC,Apartamento,178.77,4,4,1,3,5306237.23
117, Balneário Camboriú ,Centro , SC,Apartamento,180.66,4,4,1,3,5716324.49
118, Balneário Camboriú ,Centro , SC,Apartamento,180.54,4,4,1,3,5889100.4
119, Balneário Camboriú ,Centro , SC,Apartamento,361.2,4,4,1,3,13046103.0
120, Balneário Camboriú ,Centro , SC,Apartamento,255.0,4,4,1,3,6649518.83
121, Balneário Camboriú ,Nações , SC,Apartamento,101.56,2,2,1,1,905065.14
